1,Customer1,Last1,customer1@example.com,Male,01037427046,UK,20-7-1997,277.68
2,Customer2,Last2,customer2@example.com,Female,01055259597,Morocco,18-4-2008,8271.88
3,Customer3,Last3,customer3@example.com,Female,01007246604,India,10-5-2002,656.45
4,Customer4,Last4,customer4@example.com,Female,01048689269,Germany,22-8-1977,158.35
5,Customer5,Last5,customer5@example.com,Male,01096018006,UK,20-10-1975,2153.58
6,Customer6,Last6,customer6@example.com,Female,01084138291,Egypt,23-5-1992,6700.46
7,Customer7,Last7,customer7@example.com,Male,01040781326,Egypt,6-3-1991,8188.39
8,Customer8,Last8,customer8@example.com,Male,01045022369,USA,14-9-1982,7353.74
9,Customer9,Last9,customer9@example.com,Male,01065371297,India,26-5-1988,3148.17
10,Customer10,Last10,customer10@example.com,Female,01058505466,Morocco,10-4-1974,3088.21
11,Customer11,Last11,customer11@example.com,Female,01093947159,Germany,3-4-2000,3867.20
12,Customer12,Last12,customer12@example.com,Female,01054094872,Egypt,26-7-2003,5473.12
13,Customer13,Last13,customer13@example.com,Female,01034469403,France,22-9-1991,6126.83
14,Customer14,Last14,customer14@example.com,Female,01014165877,Germany,4-9-1999,7736.35
15,Customer15,Last15,customer15@example.com,Female,01085690360,Morocco,19-8-1978,5652.65
16,Customer16,Last16,customer16@example.com,Male,01066865965,India,27-12-1981,9612.16
17,Customer17,Last17,customer17@example.com,Female,01080416665,Canada,27-9-1971,8259.95
18,Customer18,Last18,customer18@example.com,Female,01091431929,Morocco,9-7-2007,1965.91
19,Customer19,Last19,customer19@example.com,Female,01036992647,Egypt,14-6-2007,5673.71
20,Customer20,Last20,customer20@example.com,Male,01007595316,India,1-4-2008,7759.59
21,Customer21,Last21,customer21@example.com,Male,01030668014,Canada,26-10-2006,4924.20
22,Customer22,Last22,customer22@example.com,Male,01020204249,Germany,13-7-1970,1196.59
23,Customer23,Last23,customer23@example.com,Female,01067958935,UK,17-6-1979,3694.47
24,Customer24,Last24,customer24@example.com,Male,01004740482,Egypt,15-12-2000,4559.59
25,Customer25,Last25,customer25@example.com,Female,01059473134,UK,11-3-1986,4470.71
26,Customer26,Last26,customer26@example.com,Female,01073568874,Germany,7-4-1980,1430.10
27,Customer27,Last27,customer27@example.com,Female,01063148029,Morocco,20-10-2004,4421.96
28,Customer28,Last28,customer28@example.com,Female,01062209130,UK,26-7-1993,453.43
29,Customer29,Last29,customer29@example.com,Male,01036918126,Morocco,17-9-1972,9309.96
30,Customer30,Last30,customer30@example.com,Male,01044176127,France,20-2-1977,2187.68
31,Customer31,Last31,customer31@example.com,Female,01071666060,Morocco,11-3-1981,3405.69
32,Customer32,Last32,customer32@example.com,Male,01085231169,France,6-2-1975,250.45
33,Customer33,Last33,customer33@example.com,Female,01012182593,Egypt,1-4-1992,7863.49
34,Customer34,Last34,customer34@example.com,Male,01079070700,Morocco,3-3-1997,1951.97
35,Customer35,Last35,customer35@example.com,Male,01058215449,Germany,21-3-1978,6079.04
36,Customer36,Last36,customer36@example.com,Male,01059102042,Germany,10-9-1982,6578.27
37,Customer37,Last37,customer37@example.com,Female,01027074108,Egypt,6-11-1971,2132.45
38,Customer38,Last38,customer38@example.com,Male,01069688966,Canada,1-12-1988,763.14
39,Customer39,Last39,customer39@example.com,Female,01063743095,Egypt,19-6-1990,5692.41
40,Customer40,Last40,customer40@example.com,Male,01024996873,Egypt,3-3-1977,3162.41
41,Customer41,Last41,customer41@example.com,Female,01076032818,USA,22-6-1991,6532.87
42,Customer42,Last42,customer42@example.com,Female,01035536416,India,26-8-1977,5019.39
43,Customer43,Last43,customer43@example.com,Female,01022076794,USA,5-11-2006,4288.16
44,Customer44,Last44,customer44@example.com,Male,01076270243,India,16-8-2006,2185.05
45,Customer45,Last45,customer45@example.com,Female,01011511544,Germany,26-6-1976,3147.83
46,Customer46,Last46,customer46@example.com,Female,01095417870,India,13-4-1986,9731.62
47,Customer47,Last47,customer47@example.com,Male,01096226295,France,26-11-1999,2467.42
48,Customer48,Last48,customer48@example.com,Male,01026663291,Morocco,27-9-1975,2273.25
49,Customer49,Last49,customer49@example.com,Male,01010924129,India,21-3-2004,6846.27
50,Customer50,Last50,customer50@example.com,Female,01074798757,France,3-11-1977,2782.53
51,Customer51,Last51,customer51@example.com,Female,01055574465,Morocco,23-6-1995,2498.58
52,Customer52,Last52,customer52@example.com,Male,01019127270,USA,2-6-1978,666.35
53,Customer53,Last53,customer53@example.com,Male,01011289409,UK,17-12-1990,7618.80
54,Customer54,Last54,customer54@example.com,Male,01048202808,USA,24-3-2003,6039.95
55,Customer55,Last55,customer55@example.com,Female,01087831212,Germany,7-10-2007,9917.70
56,Customer56,Last56,customer56@example.com,Female,01049005367,Morocco,25-6-1993,5112.71
57,Customer57,Last57,customer57@example.com,Male,01078090605,UK,11-2-1993,2980.12
58,Customer58,Last58,customer58@example.com,Female,01095420700,UK,11-12-1996,9774.45
59,Customer59,Last59,customer59@example.com,Male,01084263053,Canada,7-2-1991,8870.62
60,Customer60,Last60,customer60@example.com,Male,01032863682,UK,1-10-2009,945.78
61,Customer61,Last61,customer61@example.com,Male,01084281272,France,2-4-1971,6588.34
62,Customer62,Last62,customer62@example.com,Male,01025140644,Morocco,5-3-2009,3331.31
63,Customer63,Last63,customer63@example.com,Female,01084848952,Morocco,23-8-1991,5246.93
64,Customer64,Last64,customer64@example.com,Female,01086647772,Morocco,10-1-1998,6989.36
65,Customer65,Last65,customer65@example.com,Male,01013441271,France,28-6-2006,8331.10
66,Customer66,Last66,customer66@example.com,Male,01070214123,Egypt,3-11-1971,2316.47
67,Customer67,Last67,customer67@example.com,Male,01062716181,France,12-2-2009,9821.89
